River;RiverNr;Species;Year;Yield
Numedalslågen;1;Salmon;2003;18989
Numedalslågen;1;Salmon;2004;15309
Numedalslågen;1;Salmon;2005;11855
Numedalslågen;1;Salmon;2006;9578
Numedalslågen;1;Salmon;2007;10355
Numedalslågen;1;Salmon;2008;11438
Numedalslågen;1;Sea trout;2003;311
Numedalslågen;1;Sea trout;2004;442
Numedalslågen;1;Sea trout;2005;297
Numedalslågen;1;Sea trout;2006;310
Numedalslågen;1;Sea trout;2007;441
Numedalslågen;1;Sea trout;2008;340
 Sokndalselva;2;Salmon;2003;2435
 Sokndalselva;2;Salmon;2004;1777
 Sokndalselva;2;Salmon;2005;2166
 Sokndalselva;2;Salmon;2006;2014
 Sokndalselva;2;Salmon;2007;2089
 Sokndalselva;2;Salmon;2008;2430
 Sokndalselva;2;Sea trout;2003;151
 Sokndalselva;2;Sea trout;2004;178
 Sokndalselva;2;Sea trout;2005;210
 Sokndalselva;2;Sea trout;2006;79
 Sokndalselva;2;Sea trout;2007;96
 Sokndalselva;2;Sea trout;2008;96
 Æneselva;3;Salmon;2003;300
 Æneselva;3;Salmon;2004;141
 Æneselva;3;Salmon;2005;128
 Æneselva;3;Salmon;2006;288
 Æneselva;3;Salmon;2007;114
 Æneselva;3;Salmon;2008;158
 Æneselva;3;Sea trout;2003;37
 Æneselva;3;Sea trout;2004;38
 Æneselva;3;Sea trout;2005;35
 Æneselva;3;Sea trout;2006;26
 Æneselva;3;Sea trout;2007;15
 Æneselva;3;Sea trout;2008;14
 Moelva m/Salsvatnet;4;Salmon;2003;1826
 Moelva m/Salsvatnet;4;Salmon;2004;1012
 Moelva m/Salsvatnet;4;Salmon;2005;1370
 Moelva m/Salsvatnet;4;Salmon;2006;1211
 Moelva m/Salsvatnet;4;Salmon;2007;815
 Moelva m/Salsvatnet;4;Salmon;2008;1013
 Moelva m/Salsvatnet;4;Sea trout;2003;226
 Moelva m/Salsvatnet;4;Sea trout;2004;378
 Moelva m/Salsvatnet;4;Sea trout;2005;680
 Moelva m/Salsvatnet;4;Sea trout;2006;720
 Moelva m/Salsvatnet;4;Sea trout;2007;395
 Moelva m/Salsvatnet;4;Sea trout;2008;286
 Tosbotnelva;5;Salmon;2003;128
 Tosbotnelva;5;Salmon;2004;97
 Tosbotnelva;5;Salmon;2005;96
 Tosbotnelva;5;Salmon;2006;71
 Tosbotnelva;5;Salmon;2007;181
 Tosbotnelva;5;Salmon;2008;94
 Tosbotnelva;5;Sea trout;2003;76
 Tosbotnelva;5;Sea trout;2004;33
 Tosbotnelva;5;Sea trout;2005;75
 Tosbotnelva;5;Sea trout;2006;53
 Tosbotnelva;5;Sea trout;2007;118
 Tosbotnelva;5;Sea trout;2008;32
 Storelva i Lebesby;6;Salmon;2003;766
 Storelva i Lebesby;6;Salmon;2004;693
 Storelva i Lebesby;6;Salmon;2005;1013
 Storelva i Lebesby;6;Salmon;2006;1327
 Storelva i Lebesby;6;Salmon;2007;1024
 Storelva i Lebesby;6;Salmon;2008;900
 Storelva i Lebesby;6;Sea trout;2003;86
 Storelva i Lebesby;6;Sea trout;2004;81
 Storelva i Lebesby;6;Sea trout;2005;82
 Storelva i Lebesby;6;Sea trout;2006;91
 Storelva i Lebesby;6;Sea trout;2007;83
 Storelva i Lebesby;6;Sea trout;2008;43
